order_id,sku_id,category,supplier,warehouse,transport_mode,order_qty,fulfilled_qty,unit_cost,order_date,delivery_date,lead_time_days,on_time_delivery,fill_rate,order_value
ORD10000,SKU1014,Cosmetics,Vendor_04,WH_Chennai,Air,286,221,116.99,2024-11-18,2024-11-24,4,0,0.775,33459.14
ORD10001,SKU1001,Skincare,Vendor_04,WH_Delhi,Road,136,113,35.43,2023-01-22,2023-01-29,6,1,0.835,4818.48
ORD10002,SKU1001,Skincare,Vendor_01,WH_Mumbai,Rail,372,233,35.43,2023-02-02,2023-02-10,6,0,0.628,13179.96
ORD10003,SKU1004,Skincare,Vendor_08,WH_Chennai,Rail,352,245,18.49,2023-05-16,2023-05-29,10,0,0.697,6508.48
ORD10004,SKU1012,Cosmetics,Vendor_04,WH_Chennai,Road,218,161,102.92,2024-11-05,2024-11-12,4,0,0.742,22436.56
ORD10005,SKU1007,Haircare,Vendor_01,WH_Delhi,Road,452,415,32.69,2024-02-17,2024-02-23,4,0,0.92,14775.88
ORD10006,SKU1003,Skincare,Vendor_04,WH_Mumbai,Sea,108,76,74.14,2024-03-08,2024-03-23,14,1,0.711,8007.12
ORD10007,SKU1013,Cosmetics,Vendor_02,WH_Delhi,Sea,482,415,89.73,2023-04-11,2023-04-28,17,1,0.861,43249.86
ORD10008,SKU1001,Skincare,Vendor_04,WH_Chennai,Rail,484,331,35.43,2024-05-12,2024-05-24,9,0,0.685,17148.12
ORD10009,SKU1014,Cosmetics,Vendor_03,WH_Chennai,Sea,40,38,116.99,2024-02-04,2024-02-19,13,0,0.971,4679.6
ORD10010,SKU1004,Skincare,Vendor_08,WH_Delhi,Rail,226,223,18.49,2023-10-31,2023-11-08,7,1,0.987,4178.74
ORD10011,SKU1011,Cosmetics,Vendor_01,WH_Delhi,Road,170,105,18.39,2024-05-03,2024-05-12,8,1,0.623,3126.3
ORD10012,SKU1013,Cosmetics,Vendor_02,WH_Mumbai,Road,105,68,89.73,2023-08-29,2023-09-10,9,0,0.648,9421.65
ORD10013,SKU1009,Haircare,Vendor_01,WH_Mumbai,Road,314,305,86.19,2024-11-04,2024-11-13,7,0,0.974,27063.66
ORD10014,SKU1010,Cosmetics,Vendor_06,WH_Bangalore,Rail,376,326,25.41,2024-02-10,2024-02-19,8,1,0.869,9554.16
ORD10015,SKU1007,Haircare,Vendor_02,WH_Mumbai,Road,171,107,32.69,2024-09-28,2024-10-05,7,1,0.629,5589.99
ORD10016,SKU1008,Haircare,Vendor_03,WH_Chennai,Air,145,103,98.66,2023-09-08,2023-09-11,1,0,0.714,14305.7
ORD10017,SKU1013,Cosmetics,Vendor_05,WH_Delhi,Road,288,280,89.73,2024-07-21,2024-08-01,9,0,0.973,25842.24
ORD10018,SKU1014,Cosmetics,Vendor_05,WH_Mumbai,Road,78,55,116.99,2024-07-20,2024-07-25,4,1,0.709,9125.22
ORD10019,SKU1011,Cosmetics,Vendor_04,WH_Delhi,Air,185,177,18.39,2024-05-15,2024-05-22,5,0,0.962,3402.15
ORD10020,SKU1001,Skincare,Vendor_07,WH_Bangalore,Air,334,303,35.43,2023-01-04,2023-01-07,1,0,0.908,11833.62
ORD10021,SKU1002,Skincare,Vendor_08,WH_Mumbai,Sea,389,245,83.79,2023-01-10,2023-01-27,17,1,0.63,32594.31
ORD10022,SKU1008,Haircare,Vendor_06,WH_Delhi,Rail,28,20,98.66,2023-05-11,2023-05-20,9,1,0.723,2762.48
ORD10023,SKU1014,Cosmetics,Vendor_04,WH_Chennai,Rail,193,176,116.99,2023-04-16,2023-04-29,11,0,0.912,22579.07
ORD10024,SKU1009,Haircare,Vendor_03,WH_Bangalore,Rail,393,239,86.19,2023-07-01,2023-07-11,7,0,0.61,33872.67
ORD10025,SKU1012,Cosmetics,Vendor_07,WH_Delhi,Rail,486,365,102.92,2023-06-13,2023-06-21,8,1,0.753,50019.12
ORD10026,SKU1013,Cosmetics,Vendor_04,WH_Mumbai,Rail,250,232,89.73,2023-12-25,2024-01-05,9,0,0.928,22432.5
ORD10027,SKU1003,Skincare,Vendor_04,WH_Bangalore,Sea,22,21,74.14,2023-10-13,2023-10-28,15,1,0.987,1631.08
ORD10028,SKU1005,Haircare,Vendor_07,WH_Bangalore,Air,338,226,75.43,2023-04-29,2023-05-02,1,0,0.671,25495.34
ORD10029,SKU1000,Skincare,Vendor_07,WH_Delhi,Air,65,54,79.62,2023-11-18,2023-11-27,6,0,0.842,5175.3
ORD10030,SKU1006,Haircare,Vendor_04,WH_Mumbai,Air,470,282,88.19,2024-12-26,2024-12-30,1,0,0.601,41449.3
ORD10031,SKU1005,Haircare,Vendor_02,WH_Bangalore,Air,230,204,75.43,2023-11-18,2023-11-23,5,1,0.888,17348.9
ORD10032,SKU1008,Haircare,Vendor_07,WH_Mumbai,Air,168,138,98.66,2024-12-14,2024-12-20,4,0,0.822,16574.88
ORD10033,SKU1006,Haircare,Vendor_07,WH_Delhi,Rail,350,266,88.19,2024-08-05,2024-08-17,10,0,0.762,30866.5
ORD10034,SKU1004,Skincare,Vendor_04,WH_Chennai,Sea,156,122,18.49,2024-09-13,2024-10-02,17,0,0.786,2884.44
ORD10035,SKU1010,Cosmetics,Vendor_08,WH_Bangalore,Rail,119,95,25.41,2023-03-28,2023-04-10,11,0,0.806,3023.79
ORD10036,SKU1001,Skincare,Vendor_04,WH_Mumbai,Air,429,261,35.43,2023-07-23,2023-07-26,2,1,0.61,15199.47
ORD10037,SKU1007,Haircare,Vendor_02,WH_Chennai,Sea,322,285,32.69,2024-10-06,2024-10-23,16,1,0.887,10526.18
ORD10038,SKU1007,Haircare,Vendor_04,WH_Delhi,Rail,214,204,32.69,2024-12-05,2024-12-16,11,1,0.957,6995.66
ORD10039,SKU1012,Cosmetics,Vendor_04,WH_Mumbai,Rail,227,140,102.92,2024-06-14,2024-06-28,11,0,0.62,23362.84
ORD10040,SKU1014,Cosmetics,Vendor_02,WH_Chennai,Sea,444,435,116.99,2024-04-20,2024-05-06,14,0,0.98,51943.56
ORD10041,SKU1009,Haircare,Vendor_07,WH_Mumbai,Sea,427,300,86.19,2024-05-01,2024-05-18,14,0,0.704,36803.13
ORD10042,SKU1013,Cosmetics,Vendor_05,WH_Bangalore,Sea,336,260,89.73,2023-09-02,2023-09-22,18,0,0.776,30149.28
ORD10043,SKU1003,Skincare,Vendor_06,WH_Chennai,Air,149,98,74.14,2023-03-24,2023-03-30,5,1,0.66,11046.86
ORD10044,SKU1011,Cosmetics,Vendor_04,WH_Chennai,Road,88,71,18.39,2024-02-22,2024-03-02,7,0,0.817,1618.32
ORD10045,SKU1000,Skincare,Vendor_07,WH_Chennai,Sea,115,108,79.62,2024-12-13,2024-12-30,17,1,0.943,9156.3
ORD10046,SKU1007,Haircare,Vendor_06,WH_Bangalore,Air,13,10,32.69,2024-03-05,2024-03-10,4,1,0.795,424.97
ORD10047,SKU1006,Haircare,Vendor_01,WH_Chennai,Sea,258,229,88.19,2024-11-15,2024-12-03,15,0,0.89,22753.02
ORD10048,SKU1014,Cosmetics,Vendor_01,WH_Chennai,Sea,75,47,116.99,2024-07-31,2024-08-17,17,1,0.634,8774.25
ORD10049,SKU1002,Skincare,Vendor_08,WH_Chennai,Rail,453,331,83.79,2023-09-24,2023-10-03,6,0,0.731,37956.87
ORD10050,SKU1005,Haircare,Vendor_07,WH_Delhi,Air,182,143,75.43,2023-09-16,2023-09-20,4,1,0.788,13728.26
ORD10051,SKU1005,Haircare,Vendor_02,WH_Mumbai,Road,124,116,75.43,2023-09-11,2023-09-16,4,1,0.936,9353.32
ORD10052,SKU1003,Skincare,Vendor_08,WH_Bangalore,Road,74,65,74.14,2023-08-12,2023-08-23,8,0,0.88,5486.36
ORD10053,SKU1002,Skincare,Vendor_02,WH_Chennai,Rail,320,311,83.79,2023-04-21,2023-04-29,8,1,0.972,26812.8
ORD10054,SKU1006,Haircare,Vendor_04,WH_Bangalore,Road,492,315,88.19,2024-12-08,2024-12-17,8,1,0.641,43389.48
ORD10055,SKU1013,Cosmetics,Vendor_02,WH_Delhi,Road,360,311,89.73,2024-06-29,2024-07-08,6,0,0.865,32302.8
ORD10056,SKU1008,Haircare,Vendor_06,WH_Bangalore,Road,341,263,98.66,2024-05-16,2024-05-23,7,1,0.773,33643.06
ORD10057,SKU1010,Cosmetics,Vendor_08,WH_Chennai,Rail,466,394,25.41,2023-06-30,2023-07-11,9,0,0.846,11841.06
ORD10058,SKU1007,Haircare,Vendor_05,WH_Mumbai,Air,233,222,32.69,2023-03-30,2023-04-03,2,0,0.953,7616.77
ORD10059,SKU1012,Cosmetics,Vendor_07,WH_Mumbai,Air,247,166,102.92,2024-05-21,2024-05-24,1,0,0.673,25421.24
ORD10060,SKU1005,Haircare,Vendor_05,WH_Mumbai,Air,418,343,75.43,2024-09-02,2024-09-07,3,0,0.822,31529.74
ORD10061,SKU1001,Skincare,Vendor_07,WH_Chennai,Sea,133,114,35.43,2023-09-04,2023-09-24,17,0,0.858,4712.19
